imhotep,https://github.com/justinabrahms/imhotep,Comment on commits coming into your repository and check for syntactic errors and general lint warnings,"meta, buildtool, python, ruby, javascript",N,
include-gardener,https://github.com/feddischson/include_gardener,A multi-language static analyzer for C/C++/Obj-C/Python/Ruby to create a graph (in dot or graphml format) which shows all `#include` relations of a given set of files.,"c, cpp",N,
include-gardener,https://github.com/feddischson/include_gardener,A multi-language static analyzer for C/C++/Obj-C/Python/Ruby to create a graph (in dot or graphml format) which shows all `#include` relations of a given set of files.,python,N,
include-gardener,https://github.com/feddischson/include_gardener,A multi-language static analyzer for C/C++/Obj-C/Python/Ruby to create a graph (in dot or graphml format) which shows all `#include` relations of a given set of files.,ruby,N,
ineffassign,https://github.com/gordonklaus/ineffassign,Detect ineffectual assignments in Go code,go,N,
Infer,https://fbinfer.com/,"A static analyzer for Java, C and Objective-C","c, cpp, java, objectivec",N,
InsiderSec,https://insidersec.io/,"A open source Static Application Security Testing tool (SAST) written in GoLang for Java (Maven and Android), Kotlin (Android), Swift (iOS), .NET Full Framework, C# and Javascript (Node.js).","java, mobile, kotlin, swift, dotnet, javascript, nodejs, csharp, security",N,
IntelliJ IDEA,https://www.jetbrains.com/idea/,"Comes bundled with a lot of inspections for Java and Kotlin and includes tools for refactoring, formatting and more.",ide,Y,
interfacer,https://github.com/mvdan/interfacer,Suggest narrower interfaces that can be used,go,N,
Jakstab,https://github.com/jkinder/jakstab,"Jakstab is an Abstract Interpretation-based, integrated disassembly and static analysis framework for designing analyses on executables and recovering reliable control flow graphs.",binary,N,
JArchitect,https://www.jarchitect.com,"Measure, query and visualize your code and avoid unexpected issues, technical debt and complexity.",java,Y,
JBMC,https://www.cprover.org/jbmc/,"Bounded model-checker for Java (bytecode), verifies user-defined assertions, standard assertions, several coverage metric analyses.",java,N,
jedi,https://jedi.readthedocs.io/en/latest/,Autocompletion/static analysis library for Python,python,N,
Joern,ttps://joern.io,Open-source code analysis platform for C/C++ based on code property graph,"c, cpp",N,
jshint,https://jshint.com/about/,Detect errors and potential problems in JavaScript code and enforce your team's coding conventions.,javascript,N,
JSLint,https://github.com/douglascrockford/JSLint,The JavaScript Code Quality Tool,javascript,N,
JSPrime,http://dpnishant.github.io/jsprime/,Static security analysis tool,javascript,N,
Kiuwan,https://www.kiuwan.com/code-security-sast/,"Identify and remediate cyber threats in a blazingly fast, collaborative environment, with seamless integration in your SDLC. Python, C\\C++, Java, C#, PHP and more.","c, cpp, go, java, javascript, kotlin, php, python, scala, service, swift",Y,
Klocwork,https://www.perforce.com/products/klocwork,"Quality and Security Static analysis for C/C++, Java and C#.","c, cpp, csharp, java",Y,
ktlint,https://ktlint.github.io/,An anti-bikeshedding Kotlin linter with built-in formatter,"kotlin, formatter",N,
kube-score,https://kube-score.com/,Static code analysis of your Kubernetes object definitions,container,N,
kubeval,https://kubeval.instrumenta.dev/,Validates your Kubernetes configuration files and supports multiple Kubernetes versions,container,N,
lacheck,https://www.ctan.org/pkg/lacheck,A tool for finding common mistakes in LaTeX documents,latex,N,
TeXLab,https://texlab.netlify.app,"A Language Server Protocol implementation for TeX/LaTeX, including lint capabilities",latex,N,
Landscape,https://landscape.io/,Static code analysis for Python,service,Y,
languagetool,https://languagetool.org/,Style and grammar checker for 25+ languages. It finds many errors that a simple spell checker cannot detect,writing,N,
laser,https://github.com/michaeledgar/laser,Static analysis and style linter for Ruby code,ruby,N,
Qualys Container Security,https://www.qualys.com/apps/container-security/,Container native application protection to provide visibility and control of containerized applications,"container, service",Y,
LDRA,https://ldra.com,"A tool suite including static analysis (TBVISION) to various standards including MISRA C & C++, JSF++ AV, CWE, CERT C, CERT C++ & Custom Rules.","c, cpp",Y,
LGTM.com,https://lgtm.com/,Deep code analysis for GitHub and Bitbucket to find security vulnerabilities and critical code quality issues (using Semmle QL). Automatic code review for pull requests; free for public repositories,"ci, service",Y,
LibVCS4j,https://github.com/uni-bremen-agst/libvcs4j,A Java library that allows existing tools to analyse the evolution of software systems by providing a common API for different version control systems and issue trackers,support,N,
lint,ttps://github.com/passsy/dart-lin,"An opinionated, community-driven set of lint rules for Dart and Flutter projects. Like pedantic but stricte",dart,N,
linter,https://github.com/HairyFotr/linter,"Linter is a Scala static analysis compiler plugin which adds compile-time checks for various possible bugs, inefficiencies, and style problems.",scala,N,
linter-rust,https://github.com/AtomLinter/linter-rust,"Linting your Rust-files in Atom, using rustc and cargo.",rust,N,
lintian,https://lintian.debian.org/,Static analysis tool for Debian packages,package,N,
lintr,https://github.com/jimhester/lintr,Static Code Analysis for R,r,N,
linty fresh,https://github.com/lyft/linty_fresh,Parse lint errors and report them to Github as comments on a pull request,python,N,
lll,https://github.com/walle/lll,Report long lines,go,N,
luacheck,https://github.com/mpeterv/luacheck,A tool for linting and static analysis of Lua code,lua,N,
maligned,https://github.com/mdempsky/maligned,Detect structs that would take less memory if their fields were sorted,go,N,
Manalyze,https://github.com/JusticeRage/Manalyze,"A static analyzer, which checks portable executables for malicious content.",binary,N,
markdownlint,https://github.com/DavidAnson/markdownlint,Node.js -based style checker and lint tool for Markdown/CommonMark files,markdown,N,
mccabe,https://pypi.org/project/mccabe/,Check McCabe complexity,python,N,
mdl,https://github.com/mivok/markdownlint,A tool to check Markdown files and flag style issues,markdown,N,
MIRAI,https://github.com/facebookexperimental/MIRAI,"And abstract interpreter operating on Rust's mid-level intermediate language, and providing warnings based on taint analysis.",rust,N,
misspell,https://github.com/client9/misspell,Finds commonly misspelled English words,go,N,
misspell-fixer,https://github.com/vlajos/misspell-fixer,"Quick tool for fixing common misspellings, typos in source code.",writing,N,
Misspelled Words In Context,http://jwilk.net/software/mwic,A spell-checker that groups possible misspellings and shows them in their contexts,writing,N,
mlint,https://mathworks.com/help/matlab/ref/mlint.html,Check MATLAB code files for possible problems,matlab,Y,
Mondrian,http://trismegiste.github.io/Mondrian/,A set of static analysis and refactoring tools which use graph theory,php,N,
multilint,https://github.com/adamchainz/multilint,"A wrapper around `flake8`, `isort` and `modernize`.","python, meta",N,
mypy,http://www.mypy-lang.org/,"A static type checker that aims to combine the benefits of duck typing and static typing, frequently used with [MonkeyType](https://github.com/Instagram/MonkeyType).",python,N,
mythril,https://github.com/ConsenSys/mythril,"A symbolic execution framework with batteries included, can be used to find and exploit vulnerabilities in smart contracts automatically",smart,N,
MythX,https://mythx.io,"MythX is an easy to use analysis platform which integrates several analysis methods like fuzzing, symbolic execution and static analysis to find vulnerabilities with high precision",smart,Y,
Nagelfar,https://sourceforge.net/projects/nagelfar/,A static syntax checker for Tcl,tcl,N,
nakedret,https://github.com/alexkohler/nakedret,Finds naked returns,go,N,
nargs,https://github.com/alexkohler/nargs,Finds unused arguments in function declarations,go,N,
NDepend,http://www.ndepend.com/,"Measure, query and visualize your code and avoid unexpected issues, technical debt and complexity.",csharp,Y,
Nitpick CI,https://nitpick-ci.com,Automated PHP code review,"ci, service",Y,
NodeJSScan,https://opensecurity.in/,NodeJsScan is a static security code scanner for Node.js applications,"javascript, nodejs",N,
NullAway,https://github.com/uber/NullAway,Type-based null-pointer checker with low build-time overhead; an [Error Prone](http://errorprone.info/) plugin.,java,N,
oclint,http://oclint.org/,"A static source code analysis tool to improve quality and reduce defects for C, C++ and Objective-C.","c, cpp, objectivec",N,
OWASP Dependency Check,https://owasp.org/www-project-dependency-check/,"Checks dependencies for known, publicly disclosed, vulnerabilities.",java,N,
paprika,https://github.com/GeoffreyHecht/paprika,A toolkit to detect some code smells in analyzed Android applications,mobile,N,
Oversecured,https://oversecured.com/,"A mobile app vulnerability scanner, designed for security researchers and bug bounty hackers. It also allows integrations into the DevOps process for businesses","mobile, security",Y,
parallel-lint,https://github.com/php-parallel-lint/PHP-Parallel-Lint,This tool checks syntax of PHP files faster than serial check with a fancier output,php,N,
Parker,https://github.com/katiefenn/parker,Stylesheet analysis tool,css,N,
Parse,https://github.com/psecio/parse,A Static Security Scanner,php,N,
Pascal Analyzer,https://peganza.com/products_pal.html,A static code analysis tool with numerous reports. A free _Lite_ version is available with limited reporting,delphi,Y,
Pascal Expert,https://peganza.com/products_pex.html,IDE plugin for code analysis. Includes a subset of Pascal Analyzer reporting capabilities and is available for Delphi versions 2007 and later,delphi,Y,
pdepend,https://pdepend.org/,Calculates software metrics like cyclomatic complexity for PHP code,php,N,
pelusa,https://github.com/codegram/pelusa,Static analysis Lint-type tool to improve your OO Ruby code,ruby,N,
"""Perl",https://metacpan.org/pod/Perl::Critic,Critique Perl source code for best-practices,perl,N,
pfff,https://github.com/facebookarchive/pfff/wiki/Main,"Facebook's tools for code analysis, visualizations, or style-preserving source transformation for many languages.","c, java, php, javascript, html, css, cpp, rust, csharp, erlang, haskell, python",N,
phan,https://github.com/phan/phan/wiki,A modern static analyzer from etsy,php,N,
Phasar,https://phasar.org/,A LLVM-based static analysis framework which comes with a taint and type state analysis,"c, cpp",N,
PHP Architecture Tester,https://github.com/carlosas/phpat,Easy to use architecture testing tool for PHP,php,N,
PHP Assumptions,https://github.com/rskuipers/php-assumptions,Checks for weak assumptions,php,N,
PHP Coding Standards Fixer,https://cs.symfony.com/,"Fixes your code according to standards like PSR-1, PSR-2, and the Symfony standard.",php,N,
PHP Insights,https://phpinsights.com/,,php,N,
Php Inspections (EA Extended),https://plugins.jetbrains.com/plugin/7622-php-inspections-ea-extended-,A Static Code Analyzer for PHP,php,N,
PHP Refactoring Browser,http://qafoolabs.github.io/php-refactoring-browser/,Refactoring helper,php,N,
PHP Semantic Versioning Checker,https://github.com/tomzx/php-semver-checker,Suggests a next version according to semantic versioning,php,N,
PHP-Parser,https://github.com/nikic/PHP-Parser,A PHP parser written in PHP,php,N,
PHP-Token-Reflection,https://github.com/Andrewsville/PHP-Token-Reflection,Library emulating the PHP internal reflection,php,N,
php7cc,https://github.com/sstalle/php7cc,PHP 7 Compatibility Checker,php,N,
php7mar,https://github.com/Alexia/php7mar,Assist developers in porting their code quickly to PHP 7,php,N,
PHP_CodeSniffer,https://pear.php.net/package/PHP_CodeSniffer,Detects violations of a defined set of coding standards,php,N,
phpca,https://github.com/wapmorgan/PhpCodeAnalyzer,Finds usage of non-built-in extensions,php,N,
phpcf,http://wapmorgan.github.io/PhpCodeFixer/,Finds usage of deprecated PHP features,php,N,
phpcpd,https://github.com/sebastianbergmann/phpcpd,Copy/Paste Detector for PHP code,php,N,
phpdcd,https://github.com/sebastianbergmann/phpdcd,Dead Code Detector (DCD) for PHP code,php,N,
PhpDependencyAnalysis,https://mamuz.github.io/PhpDependencyAnalysis/,Builds a dependency graph for a project,php,N,
phpdoc-to-typehint,https://github.com/dunglas/phpdoc-to-typehint,Add scalar type hints and return types to existing PHP projects using PHPDoc annotations,php,N,
phpDocumentor,https://www.phpdoc.org/,Analyzes PHP source code to generate documentation,php,N,
phploc,https://github.com/sebastianbergmann/phploc,A tool for quickly measuring the size and analyzing the structure of a PHP project,php,N,
PHPMD,https://phpmd.org/,Finds possible bugs in your code,php,N,
PhpMetrics,http://www.phpmetrics.org/,Calculates and visualizes various code quality metrics,php,N,
phpmnd,https://github.com/povils/phpmnd,Helps to detect magic numbers,php,N,
PHPQA,https://edgedesigncz.github.io/phpqa/,"A tool for running QA tools (phploc, phpcpd, phpcs, pdepend, phpmd, phpmetrics).",php,N,
phpqa - jakzal,https://github.com/jakzal/phpqa,Many tools for PHP static analysis in one container,php,N,
phpqa - jmolivas,https://github.com/jmolivas/phpqa,PHPQA all-in-one Analyzer CLI tool,php,N,
phpsa,https://github.com/ovr/phpsa,Static analysis tool for PHP,php,N,
php-speller,https://github.com/mekras/php-speller,PHP spell check library,php,N,
PHPStan,https://phpstan.org/,PHP Static Analysis Tool - discover bugs in your code without running it,php,N,
plato,https://github.com/es-analysis/plato,Visualize JavaScript source complexity,javascript,N,
es6-plato,https://github.com/the-simian/es6-plato,Visualize JavaScript (ES6) source complexity,javascript,N,
PMD,https://pmd.github.io/,"A source code analyzer for Java, Javascript, PLSQL, XML, XSL and others.","java, javascript, plsql, scala, xml",N,
Polymer-analyzer,https://github.com/Polymer/tools/tree/master/packages/analyzer,A static analysis framework for Web Components,"html, javascript",N,
Polyspace Bug Finder,https://www.mathworks.com/products/polyspace-bug-finder.html,"Identifies run-time errors, concurrency issues, security vulnerabilities, and other defects in C and C++ embedded software.","c, cpp",Y,
Polyspace Code Prover,https://www.mathworks.com/products/polyspace-code-prover.html,"Provide code verification that proves the absence of overflow, divide-by-zero, out-of-bounds array access, and certain other run-time errors in C and C++ source code.","c, cpp",Y,
Polyspace for Ada,https://www.mathworks.com/products/polyspace-ada.html,"Provide code verification that proves the absence of overflow, divide-by-zero, out-of-bounds array access, and certain other run-time errors in source code.",ada,Y,
portlint,https://www.freebsd.org/cgi/man.cgi?query=portlint&sektion=1&manpath=FreeBSD+8.1-RELEASE+and+Ports,A verifier for FreeBSD and DragonFlyBSD port directories,"make, buildtool",N,
PostCSS,https://postcss.org/,"A tool for transforming styles with JS plugins. These plugins can lint your CSS, support variables and mixins, transpile future CSS syntax, inline images, and more",css,N,
pre-commit,https://pre-commit.com/,A framework for managing and maintaining multi-language pre-commit hooks,"c, cpp, java, php",N,
prealloc,https://github.com/alexkohler/prealloc,Finds slice declarations that could potentially be preallocated,go,N,
Prettier,https://prettier.io/,An opinionated code formatter,"javascript, typescript, html, formatter",N,
Primitive Erlang Security Tool (PEST),https://github.com/okeuday/pest,A tool to do a basic scan of Erlang source code and report any function calls that may cause Erlang source code to be insecure,erlang,N,
Progpilot,https://github.com/designsecurity/progpilot,A static analysis tool for security purposes,php,N,
Project Wallace CSS Analyzer,https://www.projectwallace.com/,"Analytics for CSS, part of [Project Wallace](https://www.projectwallace.com).",css,N,
Pronto,https://github.com/prontolabs/pronto,"Quick automated code review of your changes. Supports more than 40 runners for various languages, including Clang, Elixir, JavaScript, PHP, Ruby and more.","c, ci, cpp, elixir, java, javascript, php, ruby, ci",N,
proselint,http://proselint.com/,A linter for English prose with a focus on writing style instead of grammar,writing,N,
prospector,https://github.com/PyCQA/prospector,"A wrapper around `pylint`, `pep8`, `mccabe` and others.","python, meta",N,
protolint,https://github.com/yoheimuta/protolint,Pluggable linter and fixer to enforce Protocol Buffer style and conventions,protobuf,N,
Psalm,https://psalm.dev/,Static analysis tool for finding type errors in PHP applications,php,N,
PT.PM,https://github.com/PositiveTechnologies/PT.PM,"An engine for searching patterns in the source code, based on Unified AST or UST. At present time C#, Java, PHP, PL/SQL, T-SQL, and JavaScript are supported. Patterns can be described within the code or using a DSL.","csharp, java, php, plsql, tsql, javascript",N,
PullRequest,https://www.pullrequest.com,Code review as a service with built-in static analysis,"ci, service",Y,
Puma Scan,https://pumasecurity.io/,"Puma Scan provides real time secure code analysis for common vulnerabilities (XSS, SQLi, CSRF, LDAPi, crypto, deserialization, etc.) as development teams write code in Visual Studio.","csharp, ide",N,
Puppet Lint,https://github.com/rodjek/puppet-lint,Check that your Puppet manifests conform to the style guide,configmanagement,N,
PVS-Studio,https://www.viva64.com/en/pvs-studio/,"A ([conditionally free](https://www.viva64.com/en/b/0614/) for FOSS and individual developers) static analysis of C, C++, C# and Java code. For advertising purposes [you can propose a large FOSS project for analysis by PVS employees](https://github.com/viva64/pvs-studio-check-list). Supports CWE mapping, MISRA and CERT coding standards.","c, cpp, csharp, java",Y,
py-find-injection,https://github.com/uber/py-find-injection,Find SQL injection vulnerabilities in Python code,python,N,
pycodestyle,https://pycodestyle.pycqa.org/en/latest/,(Formerly `pep8`) Check Python code against some of the style conventions in PEP 8.,python,N,
pydocstyle,http://www.pydocstyle.org,Check compliance with Python docstring conventions,python,N,
pyflakes,https://pypi.org/project/pyflakes/,Check Python source files for errors,python,N,
pylint,http://pylint.pycqa.org/en/latest/,"Looks for programming errors, helps enforcing a coding standard and sniffs for some code smells. It additionally includes `pyreverse` (an UML diagram generator) and `symilar` (a similarities checker).",python,N,
pyre-check,https://pyre-check.org/,"A fast, scalable type checker for large Python codebases.",python,N,
pyright,https://github.com/Microsoft/pyright,"Static type checker for Python, created to address gaps in existing tools like mypy.",python,N,
pyroma,https://github.com/regebro/pyroma,"Rate how well a Python project complies with the best practices of the Python packaging ecosystem, and list issues that could be improved.",python,N,
PyT - Python Taint,https://github.com/python-security/pyt,A static analysis tool for detecting security vulnerabilities in Python web applications,python,N,
pytype,https://google.github.io/pytype/,A static type analyzer for Python code,python,N,
Pysa,https://pyre-check.org/docs/pysa-basics.html,A tool based on Facebook's pyre-check to identify potential security issues in Python code identified with taint analysis,python,N,
Qafoo Quality Analyzer,https://github.com/Qafoo/QualityAnalyzer,Visualizes metrics and source code,php,N,
qark,https://github.com/linkedin/qark,Tool to look for several security related Android application vulnerabilities,mobile,N,
quality,https://github.com/jden/quality,Zero configuration code and module linting,javascript,N,
quality,https://github.com/apiology/quality,"Runs quality checks on your code using community tools, and makes sure your numbers don't get any worse over time.","ci, ruby",N,
QuantifiedCode,https://github.com/quantifiedcode/quantifiedcode,Automated code review & repair,"ci, service",N,
Querly,https://github.com/soutaro/querly,Pattern Based Checking Tool for Ruby,ruby,N,
qulice,https://www.qulice.com/,"Combines a few (pre-configured) static analysis tools (checkstyle, PMD, Findbugs, ...).",java,N,
radon,https://radon.readthedocs.io/en/latest/,A Python tool that computes various metrics from the source code,python,N,
Railroader,https://railroader.org/,An open source static analysis security vulnerability scanner for Ruby on Rails applications,ruby,N,
reek,https://github.com/troessner/reek,Code smell detector for Ruby,ruby,N,
Refactoring Essentials,https://marketplace.visualstudio.com/items?itemName=SharpDevelopTeam.RefactoringEssentialsforVisualStudio,"The free Visual Studio 2015 extension for C# and VB.NET refactorings, including code best practice analyzers.","csharp, vbnet",N,
relint,https://github.com/codingjoe/relint,A static file linter that allows you to write custom rules using regular expressions (RegEx),"python, java, javascript, c, cpp, dotnet, jsx",N,
remark-lint,https://remark.js.org/,Pluggable Markdown code style linter written in JavaScript,markdown,N,
ReSharper,https://www.jetbrains.com/resharper/,"Extends Visual Studio with on-the-fly code inspections for C#, VB.NET, ASP.NET, JavaScript, TypeScript and other technologies.","asp, csharp, javascript, typescript, vbnet",Y,
Reshift,https://www.reshiftsecurity.com/,A source code analysis tool for detecting and managing Java security vulnerabilities,service,Y,
retire.js,http://retirejs.github.io/retire.js/,Scanner detecting the use of JavaScript libraries with known vulnerabilities,javascript,N,
Reviewdog,https://github.com/haya14busa/reviewdog,A tool for posting review comments from any linter in any code hosting service,"ci, go",N,
revive,https://revive.run/,"Fast, configurable, extensible, flexible, and beautiful linter for Go. Drop-in replacement of golint.",go,N,
RIPS,https://www.ripstech.com/,A static source code analyser for vulnerabilities in PHP scripts,"php, java, nodejs",Y,
Roslyn Analyzers,https://github.com/dotnet/roslyn-analyzers,Roslyn-based implementation of FxCop analyzers,"csharp, dotnet",N,
Roslyn Security Guard,https://security-code-scan.github.io/,"Project that focuses on the identification of potential vulnerabilities such as SQL injection, cross-site scripting (XSS), CSRF, cryptography weaknesses, hardcoded passwords and many more.","csharp, vbnet",N,
Roslynator,https://github.com/JosefPihrt/Roslynator/,"A collection of 190+ analyzers and 190+ refactorings for C#, powered by Roslyn.",csharp,N,
rpmlint,https://github.com/rpm-software-management/rpmlint,Tool for checking common errors in rpm packages,package,N,
RuboCop,https://docs.rubocop.org/rubocop/,"A Ruby static code analyzer, based on the community Ruby style guide.",ruby,N,
Rubrowser,http://www.emadelsaid.com/rubrowser/,Ruby classes interactive dependency graph generator,ruby,N,
ruby-lint,http://code.yorickpeterse.com/ruby-lint/latest/,Static code analysis for Ruby,ruby,N,
rubycritic,https://github.com/whitesmith/rubycritic,A Ruby code quality reporter,ruby,N,
Rust Language Server,https://github.com/rust-lang-nursery/rls,"Supports functionality such as 'goto definition', symbol search, reformatting, and code completion, and enables renaming and refactorings.",rust,N,
rust-analyzer,https://rust-analyzer.github.io/,"Supports functionality such as 'goto definition', type inference, symbol search, reformatting, and code completion, and enables renaming and refactorings.",rust,N,
rust-audit,ttps://github.com/Shnatsel/rust-audi,Audit Rust binaries for known bugs or security vulnerabilities. This works by embedding data about the dependency tree (Cargo.lock) in JSON format into a dedicated linker section of the compiled executable.,rust,N,
rustfix,https://github.com/rust-lang/rustfix,"Read and apply the suggestions made by rustc (and third-party lints, like those offered by clippy).",rust,N,
safesql,https://github.com/stripe/safesql,Static analysis tool for Golang that protects against SQL injections,go,N,
SandiMeter,https://rubygems.org/gems/sandi_meter,Static analysis tool for checking Ruby code for Sandi Metz' rules.,ruby,N,
sass-lint,https://github.com/sasstools/sass-lint,A Node-only Sass linter for both sass and scss syntax,css,N,
Scalastyle,http://www.scalastyle.org,Scalastyle examines your Scala code and indicates potential problems with it,scala,N,
scan-build,https://clang-analyzer.llvm.org/scan-build.html,Analyzes C/C++ code using LLVM at compile-time,"c, cpp",N,
scapegoat,https://github.com/sksamuel/scapegoat,Scala compiler plugin for static code analysis,scala,N,
Scrutinizer,https://scrutinizer-ci.com/,A proprietary code quality checker that can be integrated with GitHub,service,Y,
scsslint,https://github.com/brigade/scss-lint,Linter for SCSS files,css,N,
Security Code Scan,https://security-code-scan.github.io/,"Security code analyzer for C# and VB.NET. Detects various security vulnerability patterns: SQLi, XSS, CSRF, XXE, Open Redirect, etc. Integrates into Visual Studio 2015 and newer. Detects various security vulnerability patterns: SQLi, XSS, CSRF, XXE, Open Redirect, etc.","c, cpp, csharp, ide, java, php, vbnet",N,
Semgrep,https://semgrep.live,"Free, open-source lightweight static analysis for many languages. Find and block bug variants with patterns that look like source code.","c, go, java, javascript, python",N,
Semmle QL and LGTM,https://semmle.com/,"Find security vulnerabilities, variants, and critical code quality issues using queries over source code. Automatic PR code review; free for public GitHub/Bitbucket repo: [LGTM.com](https://LGTM.com).","c, ci, cpp, java, php",Y,
SensioLabs Insight,https://insight.sensiolabs.com/,"Detect security risks, find bugs and provide actionable metrics for PHP projects.","php, service",Y,
shellcheck,https://www.shellcheck.net/,"ShellCheck, a static analysis tool that gives warnings and suggestions for bash/sh shell scripts.",shell,N,
shipshape,https://github.com/google/shipshape,Static program analysis platform that allows custom analyzers to plug in through a common interface,"c, cpp, java, php",N,
Sider,https://sider.review,An automated code reviewing tool. Improving developers' productivity.,"ci, service, ruby, python, css, go, swift",Y,
slim-lint,https://github.com/sds/slim-lint,Configurable tool for analyzing Slim templates,template,N,
slither,https://github.com/trailofbits/slither,"Static analysis framework that runs a suite of vulnerability detectors, prints visual information about contract details, and provides an API to easily write custom analyses.",smart,N,
SmartDec Scanner,https://smartdecscanner.com/,"SAST tool which is capable of identifying vulnerabilities and undocumented features. The analyzer scans the source code and executables without debug info (i.e. binaries). Supports: Java/Scala/Kotlin, PHP, C#, JavaScript, TypeScript, VBScript, HTML5, Python, Perl, C/C++, Objective-C/Swift, PL/SQL, T-SQL, ABAP, 1C, Apex, Go, Ruby, Groovy, Delphi, VBA, Visual Basic 6, Solidity, Vyper, COBOL.","abap, apex, c, cobol, cpp, csharp, delphi, go, groovy, html, java, javascript, kotlin, objectivec, perl, php, plsql, python, ruby, scala, security, smart, swift, tsql, typescript, vba, vbscript, vbasic, vyper",Y,
Snyk,https://snyk.io/,Vulnerability scanner for dependencies of node.js apps (free for Open Source Projects),"ci, container, go, java, javascript, php, python, ruby, service",Y,
sobelow,https://github.com/nccgroup/sobelow,Security-focused static analysis for the Phoenix Framework,elixir,N,
solhint,https://protofire.github.io/solhint/,Solhint is an open source project created by https://protofire.io. Its goal is to provide a linting utility for Solidity code,smart,N,
solium,https://ethlint.readthedocs.io/en/latest/,Solium is a linter to identify and fix style and security issues in Solidity smart contracts,smart,N,
SonarCloud,https://sonarcloud.io,"Multilanguage cloud-based static code analysis. History, trends, security hot-spots, pull request analysis and more. Free for open source.","ci, service",Y,
SonarLint for Visual Studio,https://vs.sonarlint.org/,SonarLint is an extension for Visual Studio 2015 and 2017 that provides on-the-fly feedback to developers on new bugs and quality issues injected into .NET code,"c, cpp, csharp, javascript, vbnet",N,
SonarQube,http://www.sonarqube.org/,SonarQube is an open platform to manage code quality,"ci, csharp, css, go, html, java, javascript, kotlin, php, python, ruby, scala, typescript, xml",N,
Soot,https://soot-oss.github.io/soot/,A framework for analyzing and transforming Java and Android applications,java,N,
Sorbet,https://sorbet.org/,"A fast, powerful type checker designed for Ruby.",ruby,N,
SourceMeter,https://www.sourcemeter.com/resources/rpg/,Static Code Analysis for RPG III and RPG IV versions (including free-form),rpg,Y,
SPARK,https://www.adacore.com/about-spark,Static analysis and formal verification toolset for Ada,ada,Y,
Specificity Graph,https://jonassebastianohlsson.com/specificity-graph/,CSS Specificity Graph Generator,css,N,
Spectral,https://stoplight.io/open-source/spectral,"A flexible JSON/YAML linter, with out of the box support for OpenAPI v2/v3 and AsyncAPI v2","json, yaml",N,
splint,http://splint.org/,Annotation-assisted static program checker,"c, cpp",N,
Spoon,http://spoon.gforge.inria.fr/,"Spoon is a metaprogramming library to analyze and transform Java source code (incl Java 9, 10, 11, 12, 13, 14). It parses source files to build a well-designed AST with powerful analysis and transformation API. Can be integrated in Maven and Gradle",java,N,
SpotBugs,https://spotbugs.github.io/,SpotBugs is FindBugs' successor. A tool for static analysis to look for bugs in Java code.,java,N,
sqlcheck,https://github.com/jarulraj/sqlcheck,Automatically identify anti-patterns in SQL queries,sql,N,
sqlint,https://github.com/purcell/sqlint,Simple SQL linter,sql,N,
standard,http://standardjs.com/,An npm module that checks for Javascript Styleguide issues,"javascript, nodejs",N,
staticcheck,https://staticcheck.io/,"Go static analysis that specialises in finding bugs, simplifying code and improving performance.",go,N,
STOKE,http://stoke.stanford.edu/,A programming-language agnostic stochastic optimizer for the x86_64 instruction set. It uses random search to explore the extremely high-dimensional space of all possible program transformations,asm,N,
structcheck,https://gitlab.com/opennota/check,Find unused struct fields,go,N,
Stylelint,http://stylelint.io/,Linter for SCSS/CSS files,css,N,
styler,https://styler.r-lib.org/,Formatting of R source code files and pretty-printing of R code,"r, formatter",N,
SVF,http://svf-tools.github.io/SVF/,A static tool that enables scalable and precise interprocedural dependence analysis for C and C++ programs,"c, cpp",N,
SwiftFormat,https://github.com/nicklockwood/SwiftFormat,A library and command-line formatting tool for reformatting Swift code,"formatter, swift",N,
SwiftLint,https://realm.github.io/SwiftLint/,A tool to enforce Swift style and conventions,swift,N,
Synopsys,https://www.synopsys.com/software-integrity/security-testing/static-analysis-sast.html,"A commercial static analysis platform that allows for scanning of multiple languages (C/C++, Android, C#, Java, JS, PHP, Python, Node.JS, Ruby, Fortran, and Swift).","c, ci, cpp, csharp, fortran, java, javascript, mobile, nodejs, php, python, ruby, swift",Y,
Tailor,https://tailor.sh/,A static analysis and lint tool for source code written in Apple's Swift programming language.,swift,N,
tclchecker,https://github.com/ActiveState/tdk/blob/master/docs/3.0/TDK_3.0_Checker.txt,A static syntax analysis module (as part of [TDK](https://github.com/ActiveState/tdk)).,tcl,N,
Teamscale,http://www.teamscale.com/,Static and dynamic analysis tool supporting more than 25 languages and direct IDE integration. Free hosting for Open Source projects available on request. Free academic licenses available,"abap, c, ci, cpp, csharp, ide, java, service",Y,
tern,https://ternjs.net/,"A JavaScript code analyzer for deep, cross-editor language support.",javascript,N,
terraform-compliance,https://terraform-compliance.com,"A lightweight, compliance- and security focused, BDD test framework against Terraform.",configmanagement,N,
terrascan,https://github.com/cesar-rodriguez/terrascan,Collection of security and best practice tests for static code analysis of Terraform templates,configmanagement,N,
test,http://golang.org/pkg/testing/,Show location of test failures from the stdlib testing module,go,N,
Test Design Studio,http://patterson-consulting.net/tds,A full IDE with static code analysis for Micro Focus Unified Functional Testing VBScript-based automated tests,vbscript,Y,
tflint,https://github.com/wata727/tflint,A Terraform linter for detecting errors that can not be detected by `terraform plan`.,configmanagement,N,
